Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
name_product_list = new java.util.ArrayList(),Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.001s,PASSED
"name_product_list.add(data.get(""name_product""))",Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.002s,PASSED
name_product_list.add(name_product_2),Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.000s,PASSED
description_product_list = new java.util.ArrayList(),Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.000s,PASSED
"description_product_list.add(data.get(""description_product""))",Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.001s,PASSED
description_product_list.add(description_product_2),Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.000s,PASSED
price_product_list = new java.util.ArrayList(),Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.001s,PASSED
"price_product_list.add(data.get(""product_price""))",Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.000s,PASSED
price_product_list.add(price_product_2),Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.001s,PASSED
println(name_product_list),Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.003s,PASSED
"data.put(""name_product_list"", name_product_list)",Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.000s,PASSED
"data.put(""description_product_list"", description_product_list)",Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.001s,PASSED
"data.put(""price_product_list"", price_product_list)",Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.000s,PASSED
return data,Edge Chromium 116,,,2023-08-31 12:40:00,2023-08-31 12:40:00,0.000s,PASSED
,,,,,,,
Test Cases/Products/TC-Product-RemoveCart-001,Edge Chromium 116,User meremove barang yang dipilih dari halaman product,,2023-08-31 12:40:00,2023-08-31 12:40:14,13.850s,PASSED
"callTestCase(findTestCase(""Login/TC-Login-Success-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:40:01,2023-08-31 12:40:13,12.091s,PASSED
"click(findTestObject(""Products/add_to_chart_produk_1""))",Edge Chromium 116,,,2023-08-31 12:40:13,2023-08-31 12:40:13,0.411s,PASSED
"click(findTestObject(""Products/remove_button""))",Edge Chromium 116,,,2023-08-31 12:40:13,2023-08-31 12:40:14,0.524s,PASSED
"verifyElementNotPresent(findTestObject(""Products/remove_button""), 0)",Edge Chromium 116,,,2023-08-31 12:40:14,2023-08-31 12:40:14,0.491s,PASSED
,,,,,,,
Test Cases/Products/TC-Product-Show-001,Edge Chromium 116,User can see product in product page,,2023-08-31 12:40:14,2023-08-31 12:40:26,11.586s,PASSED
"callTestCase(findTestCase(""Login/TC-Login-Success-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:40:15,2023-08-31 12:40:25,10.997s,PASSED
"verifyElementPresent(findTestObject(""Products/title_product""), 0)",Edge Chromium 116,,,2023-08-31 12:40:25,2023-08-31 12:40:26,0.343s,PASSED
,,,,,,,
Test Cases/Products/TC-Product-Sort-001,Edge Chromium 116,User ingin mengurutkan nama produk dari A ke Z,,2023-08-31 12:40:26,2023-08-31 12:40:39,12.865s,PASSED
"callTestCase(findTestCase(""Login/TC-Login-Success-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:40:26,2023-08-31 12:40:38,11.345s,PASSED
"selectOptionByValue(findTestObject(""Products/dropdown_menu""), ""az"", false)",Edge Chromium 116,,,2023-08-31 12:40:38,2023-08-31 12:40:38,0.717s,PASSED
